name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY,Private,4 Year,total,out,19450,19450,19250,19250,18900,18400,17850,17850,16250
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY,Private,4 Year,tuition,in,12450,12450,12250,12250,11900,11400,10850,10850,9750
Rabbinical College Beth Shraga,New York,NY,Private,4 Year,total,in,22650,21850,21250,20550,19850,19150,18550,17950,16800
Rabbinical College Beth Shraga,New York,NY,Private,4 Year,total,out,22650,21850,21250,20550,19850,19150,18550,17950,16800
Rabbinical College Beth Shraga,New York,NY,Private,4 Year,tuition,in,12950,12450,12050,11550,11050,10550,10050,9550,9100
Rabbinical College of America,New Jersey,NJ,Private,4 Year,total,in,22600,22600,22500,22000,22000,22000,21000,21000,20000
Rabbinical College of America,New Jersey,NJ,Private,4 Year,total,out,22600,22600,22500,22000,22000,22000,21000,21000,20000
Rabbinical College of America,New Jersey,NJ,Private,4 Year,tuition,in,11100,11100,11000,10700,10700,10700,10200,10200,9700
Rabbinical College of Long Island,New York,NY,Private,4 Year,total,in,17700,17700,17700,17700,17700,18050,17700,17350,16350
Rabbinical College of Long Island,New York,NY,Private,4 Year,total,out,17700,17700,17700,17700,17700,18050,17700,17350,16350
Rabbinical College of Long Island,New York,NY,Private,4 Year,tuition,in,8800,8800,8800,8800,8800,9150,8800,8600,8300
Rabbinical Seminary of America,New York,NY,Private,4 Year,total,in,19100,19600,18900,18100,17800,17300,17300,16300,14300
Rabbinical Seminary of America,New York,NY,Private,4 Year,total,out,19100,19600,18900,18100,17800,17300,17300,16300,14300
Rabbinical Seminary of America,New York,NY,Private,4 Year,tuition,in,9800,10300,9600,8800,8000,8000,8000,7000,6000
Radford University,Virginia,VA,Public,4 Year,total,in,23249,22586,21969,21320,20700,20038,19909,18892,17874
Radford University,Virginia,VA,Public,4 Year,total,out,35331,34667,34253,34006,32865,31608,31067,29626,27538
Radford University,Virginia,VA,Public,4 Year,tuition,in,10627,10081,9809,9360,8976,8590,8320,7694,6904
Rainy River Community College,Minnesota,MN,Public,2 Year,total,in,14925,14877,14925,14923,14923,13473,14741,14400,11151
Rainy River Community College,Minnesota,MN,Public,2 Year,total,out,16107,16047,16107,16105,16105,14655,15878,15663,12357
Rainy River Community College,Minnesota,MN,Public,2 Year,tuition,in,5325,5277,5325,5323,5323,5323,5141,5200,4971
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,total,in,30839,30479,29748,29409,29161,29623,28508,27234,25637
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,total,out,39973,39479,38613,38059,37811,38103,36695,35039,33320
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,tuition,in,14080,13870,13698,13388,13388,13144,12758,11874,11088
Randall University,Oklahoma,OK,Private,4 Year,total,in,25954,24982,26304,25694,24954,24080,23514,23010,21804
Randall University,Oklahoma,OK,Private,4 Year,total,out,25954,24982,26304,25694,24954,24080,23514,23010,21804
Randall University,Oklahoma,OK,Private,4 Year,tuition,in,13640,13040,12340,11980,11600,10926,10640,10600,9900
Randolph College,Virginia,VA,Private,4 Year,total,in,54225,52350,49916,47860,46060,44330,42762,41449,39945
Randolph College,Virginia,VA,Private,4 Year,total,out,54225,52350,49916,47860,46060,44330,42762,41449,39945
Randolph College,Virginia,VA,Private,4 Year,tuition,in,38155,36770,35410,34110,32850,31540,30376,29254,28430
Randolph-Macon College,Virginia,VA,Private,4 Year,total,in,54180,52410,50980,49340,47740,46368,44698,42434,40573
Randolph-Macon College,Virginia,VA,Private,4 Year,total,out,54180,52410,50980,49340,47740,46368,44698,42434,40573
Randolph-Macon College,Virginia,VA,Private,4 Year,tuition,in,40000,38730,37600,36340,34850,33525,32265,30608,29182
Ranger College,Texas,TX,Public,2 Year,total,in,13381,12113,11870,11905,11967,11302,11030,10127,9799
Ranger College,Texas,TX,Public,2 Year,total,out,14641,13223,12980,13015,12927,12262,11990,10487,9979
Ranger College,Texas,TX,Public,2 Year,tuition,in,4505,3880,3600,3600,3870,3330,3330,2470,2230
Ranken Technical College,Missouri,MO,Private,2 Year,total,in,25239,25239,25239,25239,25239,26592,26236,25558,24946
Ranken Technical College,Missouri,MO,Private,2 Year,total,out,25239,25239,25239,25239,25239,26592,26236,25558,24946
Ranken Technical College,Missouri,MO,Private,2 Year,tuition,in,14457,14457,14457,14457,14457,14134,13778,13100,12488
Redlands Community College,Oklahoma,OK,Public,2 Year,total,in,16172,15364,15050,14869,14663,14354,14204,11400,9958
